"filename", "language", "Markdown", "JSON", "JavaScript", "TypeScript", "TypeScript JSX", "XML", "CSS", "HTML", "JSON with Comments", "comment", "blank", "total"
"c:\Users\jucki\OneDrive\Рабочий стол\Elbrus Folder\FINALPROJECT\zoo-hotel\client\src\pages\OrderPage\OrderPage.module.css", "CSS", 0, 0, 0, 0, 0, 0, 7, 0, 0, 0, 1, 8
"c:\Users\jucki\OneDrive\Рабочий стол\Elbrus Folder\FINALPROJECT\zoo-hotel\client\src\pages\OrderPage\OrderPage.tsx", "TypeScript JSX", 0, 0, 0, 0, 18, 0, 0, 0, 0, 0, 3, 21
"c:\Users\jucki\OneDrive\Рабочий стол\Elbrus Folder\FINALPROJECT\zoo-hotel\client\src\pages\PetPage\PetPage.module.css", "CSS", 0, 0, 0, 0, 0, 0, 14, 0, 0, 0, 1, 15
"c:\Users\jucki\OneDrive\Рабочий стол\Elbrus Folder\FINALPROJECT\zoo-hotel\client\src\pages\PetPage\PetPage.tsx", "TypeScript JSX", 0, 0, 0, 0, 21, 0, 0, 0, 0, 0, 2, 23
"c:\Users\jucki\OneDrive\Рабочий стол\Elbrus Folder\FINALPROJECT\zoo-hotel\client\src\pages\RoomsPage\RoomsPage.module.css", "CSS", 0, 0, 0, 0, 0, 0, 95, 0, 0, 1, 14, 110
"c:\Users\jucki\OneDrive\Рабочий стол\Elbrus Folder\FINALPROJECT\zoo-hotel\client\src\pages\RoomsPage\RoomsPage.tsx", "TypeScript JSX", 0, 0, 0, 0, 71, 0, 0, 0, 0, 0, 8, 79
"c:\Users\jucki\OneDrive\Рабочий стол\Elbrus Folder\FINALPROJECT\zoo-hotel\client\src\redux\comment\async-action.ts", "TypeScript", 0, 0, 0, 18, 0, 0, 0, 0, 0, 0, 3, 21
"c:\Users\jucki\OneDrive\Рабочий стол\Elbrus Folder\FINALPROJECT\zoo-hotel\client\src\redux\comment\commentSlice.ts", "TypeScript", 0, 0, 0, 19, 0, 0, 0, 0, 0, 0, 3, 22
"c:\Users\jucki\OneDrive\Рабочий стол\Elbrus Folder\FINALPROJECT\zoo-hotel\client\src\redux\comment\types.ts", "TypeScript", 0, 0, 0, 13, 0, 0, 0, 0, 0, 0, 4, 17
"c:\Users\jucki\OneDrive\Рабочий стол\Elbrus Folder\FINALPROJECT\zoo-hotel\client\src\redux\hooks.ts", "TypeScript", 0, 0, 0, 7, 0, 0, 0, 0, 0, 1, 3, 11
"c:\Users\jucki\OneDrive\Рабочий стол\Elbrus Folder\FINALPROJECT\zoo-hotel\client\src\redux\orderSlice.ts", "TypeScript", 0, 0, 0, 42, 0, 0, 0, 0, 0, 0, 7, 49
"c:\Users\jucki\OneDrive\Рабочий стол\Elbrus Folder\FINALPROJECT\zoo-hotel\client\src\redux\pet\async-action.ts", "TypeScript", 0, 0, 0, 23, 0, 0, 0, 0, 0, 0, 5, 28
"c:\Users\jucki\OneDrive\Рабочий стол\Elbrus Folder\FINALPROJECT\zoo-hotel\client\src\redux\pet\petSlice.ts", "TypeScript", 0, 0, 0, 38, 0, 0, 0, 0, 0, 0, 6, 44
"c:\Users\jucki\OneDrive\Рабочий стол\Elbrus Folder\FINALPROJECT\zoo-hotel\client\src\redux\pet\types.ts", "TypeScript", 0, 0, 0, 4, 0, 0, 0, 0, 0, 0, 1, 5
"c:\Users\jucki\OneDrive\Рабочий стол\Elbrus Folder\FINALPROJECT\zoo-hotel\client\src\redux\posts\postsSlice.ts", "TypeScript", 0, 0, 0, 28, 0, 0, 0, 0, 0, 0, 7, 35
"c:\Users\jucki\OneDrive\Рабочий стол\Elbrus Folder\FINALPROJECT\zoo-hotel\client\src\redux\posts\postsThunkActions.ts", "TypeScript", 0, 0, 0, 6, 0, 0, 0, 0, 0, 0, 2, 8
"c:\Users\jucki\OneDrive\Рабочий стол\Elbrus Folder\FINALPROJECT\zoo-hotel\client\src\redux\store.ts", "TypeScript", 0, 0, 0, 26, 0, 0, 0, 0, 0, 0, 5, 31
"c:\Users\jucki\OneDrive\Рабочий стол\Elbrus Folder\FINALPROJECT\zoo-hotel\client\src\redux\thunkActions.ts", "TypeScript", 0, 0, 0, 41, 0, 0, 0, 0, 0, 5, 9, 55
